運行日,運行ID1,トリップ番号,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,自動車の用途,edge_id_origin,edge_id_destination,rou_id
20211003,197699,8,20211003025035,3,139.8993,35.87778,20211003025511,3,139.89021,35.90648,3,cluster_1503594210_7947221530N,506088815N,20211003_197699_8
20211003,197699,9,20211003035213,3,139.89467,35.90298,20211003040631,3,139.87824,35.80071,3,cluster_10779620021_10779620022N,465291269N,20211003_197699_9
20211003,197699,10,20211003045239,3,139.87805,35.80181,20211003050613,3,139.89056,35.9051,3,1619643999N,cluster_11755603585_11755603587_11755603591_1471737984N,20211003_197699_10
20211003,197699,11,20211003060114,3,139.89297,35.90547,20211003060649,3,139.89968,35.87874,3,cluster_11994798835_11994798836_11994798839_11994798840_#1moreN,cluster_11662327527_1503594335N,20211003_197699_11
20211003,197699,18,20211003101008,3,139.89919,35.87781,20211003101434,3,139.89066,35.90448,3,5898861251N,cluster_11755603585_11755603587_11755603591_1471737984N,20211003_197699_18
20211003,197699,19,20211003115836,3,139.89299,35.90568,20211003120355,3,139.89975,35.87849,3,cluster_1511694540_6451698437N,cluster_11662327527_1503594335N,20211003_197699_19
20211003,197699,23,20211003134432,3,139.89915,35.8779,20211003134908,3,139.89011,35.90682,3,5898861252N,6970960766N,20211003_197699_23
20211003,197699,24,20211003184513,3,139.89278,35.90602,20211003184959,3,139.89992,35.87841,3,cluster_1511694540_6451698437N,cluster_11662327527_1503594335N,20211003_197699_24
20211003,197715,1,20211003132758,3,139.70166,35.90777,20211003133336,3,139.70101,35.92665,3,1414070283N,2332537863N,20211003_197715_1
20211003,197766,5,20211003030209,3,139.73867,35.80187,20211003031246,3,139.70437,35.82883,4,1185507255N,1174867169N,20211003_197766_5
20211003,197766,6,20211003033209,3,139.70032,35.85461,20211003033223,3,139.70203,35.85581,4,6443888640N,1874057141N,20211003_197766_6
20211003,197766,7,20211003034950,3,139.70246,35.85645,20211003035022,3,139.70071,35.85462,4,1408533333N,cluster_1408533133_1874057149N,20211003_197766_7
20211003,197767,3,20211003191130,3,139.70037,35.84675,20211003192709,3,139.87803,35.80067,1,7204829785N,465291269N,20211003_197767_3
20211003,197767,10,20211003203851,3,139.87785,35.80126,20211003205344,3,139.70133,35.84695,1,cluster_1619643988_1619644061N,7204798677N,20211003_197767_10
20211003,197790,2,20211003003142,3,139.76051,35.80126,20211003004412,3,139.70111,35.92684,3,cluster_10108597105_2350102566N,2332537863N,20211003_197790_2
20211003,197798,2,20211003131258,2,139.70163,35.87397,20211003132242,2,139.70052,35.92735,4,1692011210N,4527589470N,20211003_197798_2
20211003,197798,4,20211003160438,0,139.70076,35.92753,20211003162331,2,139.70399,35.87547,4,370268754N,5141507270N,20211003_197798_4
20211003,197798,5,20211003172258,2,139.70258,35.86776,20211003173755,3,139.7247,35.83978,4,1691834412N,3915583547N,20211003_197798_5
20211003,197798,6,20211003184217,2,139.71895,35.8391,20211003184852,2,139.70032,35.85308,4,10678055293N,1408532939N,20211003_197798_6
20211003,197811,54,20211003052516,3,139.82796,35.80041,20211003054054,3,139.80184,35.88016,3,cluster_5620955863_9967280109N,1377378522N,20211003_197811_54
20211003,197811,55,20211003061044,3,139.80589,35.88282,20211003062743,3,139.75233,35.85161,3,cluster_1377378647_8117714817N,2652168663N,20211003_197811_55
20211003,197811,56,20211003062911,3,139.74539,35.85304,20211003063532,3,139.70282,35.84669,3,2388029285N,8807681790N,20211003_197811_56
20211003,197854,4,20211003175207,2,139.70128,35.95237,20211003182147,2,139.78203,35.97548,4,4773103241N,3210871671N,20211003_197854_4
20211003,197854,5,20211003190708,2,139.77875,35.97934,20211003191154,2,139.76491,35.99317,4,cluster_1340975111_4665334016N,271730971N,20211003_197854_5
20211003,197854,6,20211003210547,2,139.77821,35.97427,20211003210734,2,139.76724,35.97184,4,1340956971N,10294337367N,20211003_197854_6
20211003,197854,7,20211003212746,2,139.76131,35.97052,20211003213002,2,139.77704,35.97341,4,2648055579N,1340846515N,20211003_197854_7
20211003,197873,2,20211003021453,3,139.7000133,35.9282652,20211003022420,3,139.7011863,35.8466844,0,4527577414N,1189275695N,20211003_197873_2
20211003,197908,12,20211003122512,3,139.8987484,35.8773841,20211003123345,3,139.8285364,35.8010351,3,5898861250N,2579845692N,20211003_197908_12
20211003,197908,16,20211003163239,3,139.760732,35.8004437,20211003164434,3,139.7010433,35.9268754,3,cluster_10108597108_2350102556N,2332537863N,20211003_197908_16
20211003,197978,1,20211003130428,3,139.76941,35.82928,20211003131938,3,139.7145,35.85251,3,9652958819N,1955925954N,20211003_197978_1
