運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,edge_id_origin,edge_id_destination,rou_id
20211003,68601,1,1,20211003080739,2,139.6507371,35.9605992,20211003081042,2,139.6259295,35.9595071,4057411508N,4057411508N,20211003_68601_1
20211003,68665,2,1,20211003174937,2,139.6689217,35.7541565,20211003175529,2,139.6942797,35.7509377,2622527330N,2323880614N,20211003_68665_2
20211003,68665,4,1,20211003201745,2,139.6687917,35.7540266,20211003202234,2,139.6837002,35.7577465,2622527330N,cluster_1415588159_9369282555N,20211003_68665_4
20211003,68665,5,1,20211003202248,2,139.6855401,35.7566867,20211003202428,2,139.6942397,35.7509677,cluster_1415588159_9369282555N,2323880614N,20211003_68665_5
20211003,68856,1,1,20211003145208,1,139.82089,35.75053,20211003145906,1,139.73773,35.75104,7902559674N,5432829255N,20211003_68856_1
20211003,68872,1,1,20211003015101,2,139.8293482,36.0259242,20211003021416,2,139.9653721,35.8820751,cluster_1346933745_2885247599N,cluster_11745947585_1503594530N,20211003_68872_1
20211003,68872,2,1,20211003202819,2,139.9637922,35.8846847,20211003204116,2,139.9044458,35.9285459,11773840437N,cluster_1347488713_9420270500N,20211003_68872_2
20211003,68872,3,1,20211003222320,2,139.8304316,35.9241968,20211003223627,2,139.902156,35.9295358,1285938284N,6106879369N,20211003_68872_3
20211003,68894,1,1,20211003083950,2,139.6794285,36.0700853,20211003084301,2,139.6803878,36.0832439,cluster_4788176867_5611602550_7081581489N,cluster_4788176867_5611602550_7081581489N,20211003_68894_1
20211003,68894,2,1,20211003173822,2,139.6885275,36.083174,20211003174421,2,139.6794285,36.0700853,cluster_4788176867_5611602550_7081581489N,cluster_4788176867_5611602550_7081581489N,20211003_68894_2
20211003,68917,1,1,20211003163125,2,139.6278011,35.8929679,20211003163351,2,139.6252611,35.8985471,1344678600N,1344678194N,20211003_68917_1
20211003,68930,1,1,20211003100725,2,139.65111,35.75721,20211003101621,2,139.69452,35.75079,2622527330N,2323880614N,20211003_68930_1
20211003,68930,2,1,20211003195053,2,139.6942,35.75089,20211003200229,2,139.64931,35.75623,2323880614N,2622527330N,20211003_68930_2
20211003,68987,1,1,20211003094825,2,139.90886,35.78074,20211003100118,2,139.91869,35.75189,cluster_4360275645_9679906887N,11715972345N,20211003_68987_1
20211003,69035,3,1,20211003213637,0,139.99898,35.98011,20211003215609,1,139.82101,35.75129,350010536N,7902559675N,20211003_69035_3
20211003,69053,1,1,20211003173010,2,139.6260011,35.8974373,20211003180902,2,139.66041,35.8414046,1344678194N,2550123401N,20211003_69053_1
20211003,69056,1,1,20211003081303,1,139.7083785,35.7505281,20211003082325,0,139.6253241,35.807608,4361138358N,2550126961N,20211003_69056_1
20211003,69056,2,1,20211003124732,0,139.625454,35.8079179,20211003125924,1,139.7084485,35.7506681,2550132181N,5432829255N,20211003_69056_2
20211003,69173,1,1,20211003195716,2,139.7626057,35.9613599,20211003205051,2,139.7626057,35.9613799,1340840531N,1340840531N,20211003_69173_1
20211003,69182,1,1,20211003115822,2,139.65295,35.86633,20211003115920,3,139.65529,35.86267,cluster_1691838745_1853726739N,1691857381N,20211003_69182_1
20211003,69206,1,1,20211003104216,2,139.87711,35.94086,20211003110928,2,139.86771,35.96697,5370146977N,1346914049N,20211003_69206_1
20211003,69206,2,1,20211003110949,2,139.86691,35.96871,20211003111650,2,139.83905,36.00182,cluster_2890646271_2890646272N,1346930309N,20211003_69206_2
20211003,69206,3,1,20211003132931,2,139.84093,36.00016,20211003134105,2,139.84514,35.95457,cluster_1346895760_4441838239N,cluster_11043948656_11043948657N,20211003_69206_3
20211003,69206,4,1,20211003135517,2,139.85173,35.9439,20211003140115,2,139.87177,35.94275,cluster_1346857588_1346895156N,2895662982N,20211003_69206_4
