運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination
20211003,42377,1,1,20211003182038,2,139.7751379,35.8921805,20211003183634,2,139.7680657,35.9451322
20211003,42377,2,1,20211003190016,2,139.7680157,35.9453922,20211003193531,2,139.7893977,35.878923
20211003,42377,3,1,20211003201617,2,139.7911776,35.879103,20211003201858,2,139.7836077,35.8848419
20211003,42377,4,1,20211003211013,2,139.7781381,35.8867814,20211003215204,1,139.821029,35.7509713
20211003,42597,2,1,20211003113044,1,139.7083885,35.7508081,20211003113702,1,139.6453124,35.7960805
20211003,42597,3,1,20211003141805,2,139.625763,35.8461532,20211003143143,1,139.7084185,35.7503882
20211003,42641,1,1,20211003131307,1,139.820869,35.7504814,20211003132455,0,139.9124673,35.8879419
20211003,42725,1,1,20211003081222,1,139.820869,35.7507113,20211003081745,1,139.8475945,35.8168827
20211003,42725,2,1,20211003133351,0,139.9996037,35.9801941,20211003135909,1,139.821019,35.7507513
20211003,42740,1,1,20211003135335,1,139.6251229,35.8493628,20211003140417,1,139.7084085,35.7501182
20211003,42740,2,1,20211003162155,1,139.7083685,35.7505881,20211003163238,1,139.625343,35.848313
20211003,42799,1,1,20211003184928,0,139.879353,35.7916758,20211003190216,2,139.8816211,35.8408294
20211003,42799,2,1,20211003192203,2,139.8833013,35.8314706,20211003192910,2,139.8846327,35.7891461
20211003,42845,1,1,20211003110425,2,139.83804,35.76911,20211003111113,2,139.82794,35.75013
20211003,42845,2,1,20211003125056,2,139.76981,35.75138,20211003132556,2,139.84033,35.77185
20211003,42845,3,1,20211003152841,2,139.83414,35.7664,20211003153637,1,139.82121,35.75177
20211003,42845,4,1,20211003162719,1,139.82091,35.75002,20211003163709,2,139.83244,35.77127
20211003,42878,1,1,20211003094159,2,139.9763616,35.85356,20211003110630,2,139.8586051,35.7597407
20211003,42878,2,1,20211003175940,2,139.7871318,35.7521302,20211003184946,2,139.9400055,35.8380015
20211003,42921,1,1,20211003053108,1,139.820869,35.7505714,20211003054334,0,139.9122073,35.887672
20211003,42930,1,1,20211003065449,1,139.8208689,35.7515112,20211003072122,2,139.8935353,35.9490336
20211003,42930,2,1,20211003153603,2,139.8935353,35.9485237,20211003160356,1,139.8210089,35.7511913
20211003,43041,1,1,20211003142429,2,139.6562525,35.7615754,20211003142721,2,139.665002,35.7559662
20211003,43041,2,1,20211003161315,2,139.664542,35.7562062,20211003161558,2,139.6559125,35.7618753
20211003,43099,2,1,20211003235728,0,139.9989238,35.9800941,20211004003701,0,139.8210389,35.7514312
20211003,43117,1,1,20211003113728,1,139.7083685,35.7505281,20211003114922,1,139.6251429,35.8489929
20211003,43117,2,1,20211003145631,1,139.6250729,35.8496228,20211003150735,1,139.7084185,35.7503782
20211003,43120,1,1,20211003084154,2,139.8073413,35.9879376,20211003084837,2,139.8026718,35.9887274
20211003,43156,1,1,20211003130654,2,139.9218162,35.8871223,20211003131217,2,139.9505631,35.8921329
20211003,43188,5,1,20211003135822,0,139.625504,35.8079679,20211003141023,1,139.7084085,35.7503082
20211003,43247,1,1,20211003142127,0,139.9318041,35.90603,20211003143425,1,139.8231077,35.7719086
20211003,43290,1,1,20211003093223,2,139.6250795,35.9591771,20211003093700,2,139.6376578,35.974446
20211003,43290,2,1,20211003094606,2,139.6455763,35.9852055,20211003100323,2,139.6254533,36.063206
20211003,43290,7,1,20211003195528,2,139.6258033,36.0628061,20211003201418,2,139.6252795,35.9590171
20211003,43314,1,1,20211003123810,2,139.9364832,35.9123994,20211003125438,1,139.8210491,35.7500015
20211003,43314,3,1,20211003160804,1,139.8270369,35.7868469,20211003162558,2,139.9651621,35.8824651
20211003,43314,4,1,20211003234421,2,139.9755316,35.8628785,20211003235002,2,139.9665721,35.8797955
20211003,43398,8,1,20211003114440,3,139.8904633,35.7516515,20211003114453,2,139.8929332,35.7516014
20211003,43398,9,1,20211003114848,2,139.8768127,35.805294,20211003120754,0,139.6251641,35.807448
20211003,43427,2,1,20211003122000,2,139.7565819,36.082686,20211003122751,2,139.6414623,36.0508881
20211003,43427,4,1,20211003181312,3,139.6253738,36.0477185,20211003182220,2,139.7568119,36.083166
20211003,43456,1,1,20211003141727,2,139.7860952,35.9184072,20211003142320,2,139.7805851,35.9296056
20211003,43456,2,1,20211003152253,2,139.7793552,35.9313552,20211003152253,2,139.7793552,35.9313552
20211003,43538,1,1,20211003103819,2,139.6558872,35.948921,20211003104420,2,139.6250896,35.9590071
20211003,43546,1,1,20211003102338,0,139.9629399,35.9305682,20211003103731,1,139.8232277,35.7723486
20211003,43546,2,1,20211003103758,1,139.821798,35.7673492,20211003104534,1,139.7369561,35.7505388
20211003,43567,1,1,20211003123135,3,139.9592125,35.8866242,20211003130828,2,139.8773161,35.9496835
20211003,43567,2,1,20211003133903,2,139.8647766,35.9734906,20211003153517,2,139.9410954,35.8398613
20211003,43626,1,1,20211003123048,2,139.6931337,35.9355839,20211003125208,2,139.7279344,35.8345063
20211003,43626,2,1,20211003133917,2,139.7293043,35.8345063,20211003134223,2,139.7399137,35.8277875
20211003,43626,3,1,20211003141400,2,139.7532924,35.8216695,20211003141853,2,139.7704707,35.8187011
20211003,43636,1,1,20211003103044,3,139.6621812,35.782463,20211003105125,2,139.7112183,35.7505782
20211003,43636,2,1,20211003124900,1,139.7083985,35.7509481,20211003130123,2,139.6283131,35.8394341
20211003,43674,1,1,20211003023452,3,139.7509977,35.9240539,20211003023644,2,139.7560971,35.926574
20211003,43674,2,1,20211003134530,3,139.7563071,35.9259042,20211003134715,3,139.7520375,35.9249338
20211003,43674,3,1,20211003231059,3,139.7516376,35.9245838,20211003231404,2,139.7597571,35.9227051
20211003,43692,1,1,20211003102309,2,139.7926583,35.8296003,20211003103505,2,139.803079,35.7820471
20211003,43736,2,1,20211003211938,2,139.6249529,35.8500627,20211003214128,2,139.6845601,35.7572466
20211003,43811,1,1,20211003131938,2,139.6587801,35.8433543,20211003132702,2,139.6712395,35.8321558
20211003,43811,2,1,20211003193339,2,139.6719398,35.8214771,20211003193822,2,139.6725394,35.8312859
20211003,43873,7,1,20211003222656,2,139.7683007,36.0832264,20211003230255,2,139.8910991,35.8691356
20211003,43873,8,1,20211003230638,2,139.8877696,35.8611068,20211003232655,2,139.8834538,35.7514716
20211003,43887,1,1,20211003092145,2,139.705,35.75419,20211003092339,2,139.70862,35.75149
20211003,43887,3,1,20211003232052,2,139.70833,35.75045,20211003232410,3,139.70073,35.7533
20211003,43981,1,1,20211003122140,2,139.6924581,35.8128688,20211003124320,2,139.6286331,35.8386642
20211003,43981,2,1,20211003174014,2,139.6254629,35.8485529,20211003174241,2,139.627893,35.8414938
20211003,43982,3,1,20211003194601,0,139.6250041,35.807448,20211003195010,2,139.6479117,35.825766
20211003,43982,4,1,20211003200423,2,139.6471018,35.8253661,20211003204137,3,139.9459982,35.7922876
20211003,43992,1,1,20211003095244,2,139.694278,35.8078497,20211003095858,2,139.6773993,35.822697
20211003,43992,2,1,20211003102731,2,139.6882684,35.8167781,20211003103559,2,139.7045272,35.8057402
20211003,44007,1,1,20211003215034,2,139.9526142,35.8418014,20211003215850,2,139.9990092,35.8774361
20211003,44028,1,1,20211003000239,0,139.8527158,35.7549212,20211003000244,0,139.851476,35.7536414
20211003,44028,3,1,20211003000523,0,139.8489761,35.7555711,20211003000523,0,139.8489761,35.7555711
20211003,44028,6,1,20211003000910,0,139.8464363,35.755931,20211003000910,0,139.8464363,35.755931
20211003,44028,11,1,20211003001247,0,139.8466763,35.7569709,20211003001247,0,139.8466763,35.7569709
20211003,44028,15,1,20211003001603,0,139.8483062,35.756011,20211003001603,0,139.8483062,35.756011
20211003,44028,17,1,20211003001822,2,139.8457463,35.7573008,20211003001822,2,139.8457463,35.7573008
20211003,44028,19,1,20211003001907,2,139.8478461,35.7592506,20211003001907,2,139.8478461,35.7592506
20211003,44028,21,1,20211003001933,2,139.8479461,35.7575608,20211003001933,2,139.8479461,35.7575608
20211003,44028,23,1,20211003002110,2,139.8473561,35.7593306,20211003002110,2,139.8473561,35.7593306
20211003,44133,1,1,20211003064203,2,139.6255842,35.7949801,20211003064237,2,139.6297738,35.7935904
20211003,44133,2,1,20211003200549,2,139.639303,35.7961203,20211003201537,3,139.6922483,35.7906127
20211003,44133,3,1,20211003214611,2,139.6906486,35.7859433,20211003215718,2,139.6430727,35.7864821
20211003,44133,5,1,20211003201127,2,139.6684004,35.7971709,20211003201127,2,139.6684004,35.7971709
20211003,44134,3,1,20211003151753,0,139.6402012,36.0823534,20211003152703,0,139.6708147,35.9650696
20211003,44134,4,1,20211003152722,0,139.6739146,35.9610902,20211003154714,1,139.7370561,35.7506188
20211003,44139,1,1,20211003223342,2,139.635474,35.769614,20211003230309,2,139.7113183,35.7505082
20211003,44173,1,1,20211003104304,0,139.6399612,36.0830733,20211003110940,1,139.7368461,35.7504088
20211003,44173,2,1,20211003132344,2,139.6384845,35.7504562,20211003143356,2,139.6931635,35.9415232
20211003,44320,4,1,20211003144259,2,139.8493857,35.7678495,20211003145425,1,139.8210391,35.7501015
20211003,44357,1,1,20211003075756,2,139.6253909,35.912315,20211003080513,2,139.6250609,35.9134348
20211003,44357,2,1,20211003101453,2,139.6253909,35.912315,20211003113710,0,139.6251929,35.8488529
20211003,44357,3,1,20211003114447,2,139.6264111,35.899327,20211003120242,2,139.6250309,35.9135648
20211003,44377,1,1,20211003000833,2,139.96599,35.88354,20211003001938,3,139.9563,35.8946
20211003,44377,2,1,20211003102503,2,139.95982,35.89167,20211003103421,2,139.99771,35.87739
20211003,44377,3,1,20211003203948,2,139.99911,35.87744,20211003204806,3,139.9633,35.89424
20211003,44377,4,1,20211003210637,2,139.95927,35.89238,20211003210737,2,139.95639,35.89465
20211003,44377,5,1,20211003233220,2,139.95482,35.898,20211004003220,0,139.90224,35.87944
20211003,44470,1,1,20211003072247,2,139.9490834,35.8880034,20211003073257,2,139.9986995,35.8450712
20211003,44470,2,1,20211003164206,2,139.9993695,35.8443013,20211003165146,2,139.9669121,35.8792057
20211003,44470,3,1,20211003165218,2,139.9650022,35.882545,20211003165820,2,139.9472236,35.8878334
20211003,44474,1,1,20211003120059,0,139.6251441,35.807598,20211003122405,0,139.6398612,36.0827234
20211003,44474,2,1,20211003173951,0,139.6400412,36.0828334,20211003181923,0,139.6252441,35.807538
20211003,44491,1,1,20211003003521,2,139.62538,35.95929,20211003004547,2,139.62625,35.95964
20211003,44491,2,1,20211003084544,2,139.62508,35.95919,20211003091449,2,139.65425,36.00985
20211003,44491,3,1,20211003150036,2,139.65462,36.00698,20211003151630,2,139.62566,35.95925
20211003,44491,6,1,20211003235256,2,139.62511,35.95912,20211004000327,2,139.6263,35.95967
20211003,44509,1,1,20211003065934,2,139.6552904,35.8427543,20211003070722,2,139.6283531,35.8394041
20211003,44509,2,1,20211003143924,2,139.6250329,35.8498727,20211003144036,2,139.627753,35.8418938
20211003,44515,1,1,20211003110829,2,139.7189561,35.8034807,20211003114713,2,139.6324329,35.8330649
20211003,44515,3,1,20211003141650,2,139.6250429,35.8499127,20211003142031,2,139.6371525,35.8313952
20211003,44515,4,1,20211003170859,2,139.630643,35.8351746,20211003171034,2,139.6255234,35.8380542
20211003,44543,1,1,20211003120340,2,139.9042223,35.7611698,20211003120456,3,139.9176215,35.7506714
20211003,44573,1,1,20211003180252,2,139.8277871,35.777608,20211003182350,1,139.80225,35.7618395
20211003,44598,1,1,20211003100255,2,139.9543727,35.8914932,20211003101242,2,139.9652721,35.8822751
20211003,44614,1,1,20211003080610,2,139.6904237,35.9438929,20211003082657,0,139.6251041,35.807378
20211003,44614,3,1,20211003151935,2,139.6252642,35.7999192,20211003151935,2,139.6252642,35.7999192
20211003,44614,4,1,20211003200313,0,139.6288537,35.8114373,20211003202302,2,139.6928834,35.9451228
20211003,44653,1,1,20211003040908,2,139.6256295,35.9595171,20211003043731,3,139.9200713,35.7503515
20211003,44653,4,1,20211003125525,1,139.7084185,35.7509081,20211003130612,2,139.625243,35.8484829
20211003,44698,2,1,20211003065601,1,139.7084085,35.7508181,20211003070613,0,139.625434,35.807718
20211003,44698,3,1,20211003183845,0,139.6251841,35.807638,20211003185209,1,139.7084285,35.7504082
20211003,44707,1,1,20211003104141,2,139.956153,35.8825847,20211003104624,2,139.950733,35.8921129
20211003,44742,1,1,20211003084932,2,139.80324,35.7611696,20211003085130,1,139.7742025,35.759479
20211003,44742,2,1,20211003132245,2,139.7099683,35.7516481,20211003132534,1,139.7436953,35.7566783
20211003,44742,3,1,20211003144430,2,139.8034599,35.7618895,20211003144735,1,139.821029,35.7503814
20211003,44767,1,1,20211003125557,0,139.8548058,35.7504618,20211003125934,2,139.8531356,35.7599606
20211003,44767,2,1,20211003143842,2,139.8658948,35.756561,20211003143842,2,139.8658948,35.756561
20211003,44767,3,1,20211003150132,2,139.8638351,35.7503718,20211003150132,2,139.8638351,35.7503718
20211003,44793,1,1,20211003061131,1,139.7364262,35.7503088,20211003063409,0,139.6649831,35.9948054
20211003,44793,2,1,20211003071732,0,139.6711218,36.0061237,20211003072308,0,139.6398012,36.0828934
20211003,44793,6,1,20211003183324,0,139.6400512,36.0828234,20211003192055,2,139.6306516,35.8688005
20211003,44819,1,1,20211003081905,2,139.8266171,35.7825174,20211003082539,1,139.8210391,35.7500315
20211003,44819,5,1,20211003220701,1,139.820869,35.7506913,20211003221123,2,139.826427,35.7833273
20211003,44830,1,1,20211003073856,1,139.6472722,35.8005697,20211003075057,2,139.6839302,35.7576065
20211003,44845,3,1,20211003140420,2,139.9980053,35.9573169,20211003140454,2,139.9935058,35.9565267
20211003,44845,4,1,20211003143355,2,139.9909865,35.9488474,20211003145229,2,139.9986187,35.9007421
20211003,44845,5,1,20211003165433,2,139.9969093,35.8932228,20211003170517,2,139.9721311,35.8941034
20211003,44845,6,1,20211003174216,2,139.9684913,35.8956031,20211003175113,2,139.9996089,35.8964725
20211003,44845,9,1,20211003221533,2,139.9968493,35.8931329,20211003230026,2,139.9915497,35.8876843
20211003,44862,1,1,20211003135338,2,139.9444845,35.8764852,20211003140311,2,139.9654727,35.8602887
20211003,44862,2,1,20211003151137,2,139.9698421,35.8658379,20211003151828,2,139.9611125,35.8828549
20211003,44880,1,1,20211003082731,2,139.765766,35.9353838,20211003090416,2,139.6252347,36.0324506
20211003,44880,3,1,20211003113142,2,139.6266446,36.0318807,20211003115913,2,139.741327,35.9846469
20211003,44880,4,1,20211003124652,2,139.7580659,35.9702488,20211003124842,2,139.7584359,35.9665592
20211003,44880,5,1,20211003132738,2,139.7670057,35.9497315,20211003133059,2,139.7690857,35.9398733
20211003,44888,1,1,20211003081547,2,139.91991,35.86351,20211003082359,3,139.93091,35.84934
20211003,44888,2,1,20211003102018,2,139.93201,35.85307,20211003105119,1,139.82101,35.75079
20211003,44888,3,1,20211003135530,1,139.82091,35.75015,20211003140043,1,139.84691,35.81583
20211003,44895,1,1,20211003181023,3,139.63638,35.75795,20211003181257,2,139.64436,35.75007
