id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss,depart_lon,depart_lat,arrival_lon,arrival_lat
t_20211024_865260_1,914045913#2_1,-378378929#4_1,DEFAULT_VEHTYPE,548.0,5789.43,143.0,0.0,262.46,639.0,5789.43,204.0,0.0,311.24,139.787795,35.81421,139.843498,35.812498
t_20211107_1088330_1,120162144#3_1,-223489476#1_1,truck,418.0,3447.77,116.0,0.0,191.19,510.0,3447.77,188.0,0.0,274.41,,,139.719602,35.793266
t_20211017_2645956_1,427792747#6_1,1028665317#0_1,DEFAULT_VEHTYPE,244.0,1306.4,116.0,0.0,154.44,244.0,1306.4,111.0,0.0,146.92,139.887935,35.935163,139.887374,35.925331
t_20211024_1567348_1,148820758#13_1,148820763#1_1,truck,123.0,941.83,46.0,0.0,72.3,123.0,941.83,47.0,0.0,75.17,139.860612,35.802869,139.859756,35.795162
t_20211107_4867819_1,373862797#3_1,43433956#0_1,DEFAULT_VEHTYPE,177.0,1283.02,66.0,0.0,91.58,179.0,1283.02,53.0,0.0,78.45,139.859208,35.847295,139.854346,35.855183
t_20211128_2158050_1,72848061#0_1,416929975#0_1,DEFAULT_VEHTYPE,396.0,3274.23,117.0,0.0,176.33,342.0,3274.23,98.0,0.0,159.07,139.913414,35.863027,139.904439,35.83869
t_20211031_2933995_1,286616759#2_1,-127188132#2_1,DEFAULT_VEHTYPE,170.0,1730.34,39.0,0.0,67.96,174.0,1730.34,34.0,0.0,63.82,139.743709,35.83949,,
t_20211024_102331_1,-1013421828_1,1013421828_1,DEFAULT_VEHTYPE,126.0,994.35,4.0,0.0,24.56,135.0,994.35,23.0,0.0,41.72,139.719602,35.793266,139.719602,35.793266
t_20211003_490361_1,-120273844#1_1,-120273887#1_1,truck,60.0,576.36,0.0,0.0,17.15,60.0,574.73,0.0,0.0,14.94,139.697652,36.007235,,
t_20211010_4466623_3,-798745729#4_1,-120274340#1_1,DEFAULT_VEHTYPE,222.0,1821.65,41.0,0.0,75.28,188.0,1821.65,46.0,0.0,76.23,139.698405,36.007575,139.707019,36.007754
t_20211024_264819_15,-1013421828_1,1013421828_1,DEFAULT_VEHTYPE,123.0,994.35,0.0,0.0,22.31,137.0,994.35,17.0,0.0,38.26,139.719602,35.793266,139.719602,35.793266
t_20211010_4531957_1,-597957821_1,30665908#23_1,DEFAULT_VEHTYPE,486.0,4369.77,152.0,0.0,220.4,485.0,4369.77,172.0,0.0,242.2,,,139.897,35.839988
t_20211003_2648839_2,229626862#0_1,620511925#2_1,DEFAULT_VEHTYPE,496.0,4649.7,151.0,0.0,232.77,538.0,4649.7,112.0,0.0,195.17,139.842889,35.793269,139.879037,35.793062
t_20211003_871358_1,61186304#0_1,-264445783#0_1,DEFAULT_VEHTYPE,228.0,1803.59,48.0,0.0,89.25,225.0,1803.59,47.0,0.0,93.63,139.892946,35.796571,139.907803,35.797665
t_20211024_2177925_1,-744831445_1,-285599558#4_1,DEFAULT_VEHTYPE,111.0,1489.07,4.0,0.0,19.0,117.0,1489.07,0.0,0.0,9.95,139.887727,35.910208,139.88125,35.921384
t_20211107_3410783_1,692728784#0_1,1016766947#2_1,DEFAULT_VEHTYPE,96.0,908.81,28.0,0.0,50.72,93.0,908.81,27.0,0.0,47.36,,,139.857354,35.801021
t_20211024_2246243_1,248174349_0,-101764603#23_1,DEFAULT_VEHTYPE,214.0,1562.4,41.0,0.0,100.92,206.0,1573.57,32.0,0.0,95.94,139.693765,35.845376,139.7028,35.837165
t_20211024_4530765_1,871547542#0_0,-351881551#10_1,DEFAULT_VEHTYPE,480.0,5017.8,79.0,0.0,168.29,482.0,5017.8,57.0,0.0,141.03,139.823182,35.879002,139.87291,35.890061
t_20211128_603780_1,-744831447_1,-285599558#4_1,DEFAULT_VEHTYPE,123.0,1645.68,4.0,0.0,20.39,119.0,1645.68,10.0,0.0,25.05,,,139.88125,35.921384
t_20211024_3913518_1,228767151#2_1,44351425#7_1,DEFAULT_VEHTYPE,509.0,9848.74,51.0,0.0,111.0,641.0,9848.74,34.0,0.0,90.89,139.716112,35.849755,139.756136,35.790789
t_20211031_1622633_1,-119615131#0_1,1000026116#0_1,DEFAULT_VEHTYPE,170.0,1505.71,15.0,0.0,51.98,157.0,1505.71,15.0,0.0,54.59,139.694109,35.960774,139.694132,35.949071
t_20211024_4084357_1,31408774_0,43992701#2_0,DEFAULT_VEHTYPE,497.0,14057.94,0.0,0.0,74.95,580.0,14057.94,0.0,0.0,72.66,139.912159,35.887376,139.827324,35.787478
t_20211024_3860110_1,-703512862#1_1,150306010#3_1,DEFAULT_VEHTYPE,366.0,2583.18,111.0,0.0,194.69,366.0,2583.18,108.0,0.0,194.63,,,139.837549,35.797644
t_20211031_1912732_15,102695201#0_1,-223489476#2_1,DEFAULT_VEHTYPE,114.0,1268.2,0.0,0.0,22.63,137.0,1272.72,7.0,0.0,30.09,139.707391,35.79686,139.716122,35.79429
t_20211024_1913715_1,128194491_1,-48390571#2_1,DEFAULT_VEHTYPE,367.0,3803.97,35.0,0.0,94.39,368.0,3803.97,26.0,0.0,83.21,,,139.828226,35.793098
t_20211031_1020402_1,101977439#22_1,-101970431#0_1,DEFAULT_VEHTYPE,354.0,2479.8,128.0,0.0,207.21,360.0,2479.8,121.0,0.0,179.32,139.790371,35.792932,139.812375,35.798395
