id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss
t_20211128_2047500_1,101764553#3_1,248383165_1,DEFAULT_VEHTYPE,461.00,2987.25,150.00,0.00,231.16,456.00,2987.25,169.00,0.00,246.15
t_20211003_1106913_7,223489476#1_1,102695241#0_1,DEFAULT_VEHTYPE,280.00,2387.99,53.00,0.00,88.74,280.00,2387.99,49.00,0.00,86.42
t_20211003_814978_2,1188207865#3_1,-1019666874#3_1,DEFAULT_VEHTYPE,194.00,1389.16,62.00,0.00,96.96,193.00,1251.64,58.00,0.00,89.10
t_20211017_1641284_3,31408774_0,43992701#2_0,DEFAULT_VEHTYPE,553.00,14057.94,0.00,0.00,71.73,561.00,14057.94,0.00,0.00,73.44
t_20211024_3422824_1,119971109#12_1,-100827870#1_1,DEFAULT_VEHTYPE,421.00,3276.74,132.00,0.00,212.29,450.00,3276.74,75.00,0.00,152.89
t_20211003_2230329_1,564369142#10_1,-38101653#5_1,truck,313.00,3135.20,62.00,0.00,117.98,320.00,3135.20,62.00,0.00,117.47
t_20211121_4389917_1,28185104#3_1,119288055#6_1,DEFAULT_VEHTYPE,120.00,871.31,35.00,0.00,57.35,121.00,871.31,36.00,0.00,57.98
t_20211017_1824553_1,233696887#1_1,233696887#0_1,DEFAULT_VEHTYPE,99.00,551.33,45.00,0.00,59.56,98.00,551.33,46.00,0.00,62.16
t_20211017_2230517_2,248174349_0,243877276#1_1,DEFAULT_VEHTYPE,114.00,632.69,40.00,0.00,71.94,109.00,632.69,35.00,0.00,61.66
t_20211107_3640065_1,128194491_1,-136964995#26_1,DEFAULT_VEHTYPE,252.00,2842.17,0.00,0.00,43.74,264.00,2842.17,0.00,0.00,45.32
t_20211128_134211_1,-101187781#3_1,-100827870#1_1,DEFAULT_VEHTYPE,141.00,1279.97,12.00,0.00,35.40,125.00,1279.97,0.00,0.00,34.04
t_20211017_312531_4,-119615131#0_1,-1169288440_1,DEFAULT_VEHTYPE,600.00,4916.24,190.00,0.00,278.94,603.00,4916.24,176.00,0.00,265.52
t_20211010_928913_1,-120955715_1,-426156937#0_1,DEFAULT_VEHTYPE,339.00,3195.28,85.00,0.00,128.93,328.00,3195.28,95.00,0.00,145.02
t_20211031_3462000_1,223489476#1_1,-102695201#1_1,DEFAULT_VEHTYPE,124.00,1502.81,0.00,0.00,27.16,182.00,1502.81,35.00,0.00,59.10
t_20211107_304343_1,120955775_1,-120957314_1,DEFAULT_VEHTYPE,99.00,723.62,28.00,0.00,42.69,99.00,723.62,26.00,0.00,41.44
t_20211107_686353_10,223489476#1_1,102695241#0_1,DEFAULT_VEHTYPE,263.00,2500.12,42.00,0.00,94.80,262.00,2387.99,43.00,0.00,100.75
t_20211031_2447031_1,229626867#8_1,-120112431#8_1,DEFAULT_VEHTYPE,524.00,3080.21,230.00,0.00,307.31,617.00,3080.21,290.00,0.00,375.29
t_20211003_154648_2,223489476#1_1,-223489476#1_1,truck,161.00,1496.74,10.00,0.00,60.89,180.00,1496.74,44.00,0.00,81.32
t_20211010_718608_1,-120273844#1_1,-120273887#1_1,truck,60.00,576.36,0.00,0.00,13.97,59.00,576.36,0.00,0.00,17.78
t_20211121_3178871_1,-120112478#2_1,229479218#2_1,DEFAULT_VEHTYPE,282.00,2352.40,84.00,0.00,121.59,286.00,2352.40,77.00,0.00,116.17
t_20211010_915844_1,233696887#1_1,233696887#0_1,DEFAULT_VEHTYPE,63.00,551.33,0.00,0.00,13.75,71.00,551.33,0.00,0.00,11.83
t_20211024_1112308_2,796459853#51_0,-896552148#3_1,truck,484.00,4620.81,115.00,0.00,183.83,419.00,4620.81,71.00,0.00,136.73
t_20211121_785614_1,120956297_1,-120956297_1,DEFAULT_VEHTYPE,108.00,849.38,9.00,0.00,44.26,101.00,849.38,19.00,0.00,49.71
t_20211003_1141595_13,31408774_0,775462030#4_0,DEFAULT_VEHTYPE,574.00,15917.05,0.00,0.00,76.23,640.00,15917.05,0.00,0.00,76.61
t_20211017_4197219_1,233696887#1_1,233696887#0_1,DEFAULT_VEHTYPE,60.00,551.33,0.00,0.00,17.77,68.00,551.33,0.00,0.00,27.16
t_20211024_590626_1,-120162123#1_1,-1019666874#3_1,DEFAULT_VEHTYPE,360.00,3090.44,102.00,0.00,160.52,455.00,3090.44,160.00,0.00,225.71
t_20211107_429482_1,-120273844#1_1,-120273887#1_1,truck,59.00,576.36,0.00,0.00,17.15,59.00,576.36,0.00,0.00,17.78
