id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss
t_20211010_700720_4,223489476#1_1,-223489476#1_1,truck,141.00,1496.74,6.00,0.00,39.72,183.00,1496.74,38.00,0.00,69.44
t_20211003_2625936_1,-101187781#3_1,128008526#1_1,DEFAULT_VEHTYPE,471.00,2509.06,223.00,0.00,298.77,477.00,2509.06,218.00,0.00,291.84
t_20211003_991965_1,128194491_1,229626861#3_1,DEFAULT_VEHTYPE,233.00,2245.56,7.00,0.00,59.92,248.00,2245.56,0.00,0.00,38.80
t_20211031_234866_2,-1013421828_1,1013421828_1,DEFAULT_VEHTYPE,119.00,994.35,0.00,0.00,16.22,112.00,1160.31,5.00,0.00,26.37
t_20211003_137125_7,120273887#1_1,120273844#1_1,DEFAULT_VEHTYPE,58.00,578.83,0.00,0.00,14.00,60.00,577.67,0.00,0.00,11.01
t_20211128_632214_1,-156947105#9_1,101641329#0_1,DEFAULT_VEHTYPE,341.00,2004.04,128.00,0.00,181.32,344.00,2004.04,125.00,0.00,179.95
t_20211128_2012136_1,-315596127#3_1,-802059268#2_1,DEFAULT_VEHTYPE,346.00,2495.56,122.00,0.00,177.02,356.00,2495.56,104.00,0.00,150.50
t_20211114_4533635_1,275820271#1_1,58610490#3_1,DEFAULT_VEHTYPE,183.00,2077.34,14.00,0.00,50.97,174.00,2077.34,34.00,0.00,71.08
t_20211031_1205731_1,44424772#3_1,-1188207865#3_1,truck,85.00,807.59,9.00,0.00,27.42,82.00,807.59,11.00,0.00,30.70
t_20211024_427470_1,-1013421828_1,1013421828_1,DEFAULT_VEHTYPE,113.00,994.35,0.00,0.00,22.95,106.00,1160.31,0.00,0.00,25.59
t_20211010_1114266_6,-226155533#1_1,1219265277_1,DEFAULT_VEHTYPE,59.00,631.16,0.00,0.00,10.60,58.00,631.16,0.00,0.00,10.08
t_20211017_626731_1,-120273844#1_1,277743732#1_1,DEFAULT_VEHTYPE,53.00,582.47,0.00,0.00,15.15,54.00,578.46,0.00,0.00,14.63
t_20211003_592101_1,102647400#2_1,-102695201#0_1,DEFAULT_VEHTYPE,653.00,5716.70,185.00,0.00,306.56,848.00,5716.70,246.00,0.00,356.22
t_20211010_3672760_1,651497828#1_0,-119617171#1_1,DEFAULT_VEHTYPE,155.00,1352.68,42.00,0.00,67.37,158.00,1352.68,42.00,0.00,67.31
t_20211003_925726_1,82578193#1_1,-138708219_1,DEFAULT_VEHTYPE,63.00,603.58,0.00,0.00,9.75,55.00,603.58,0.00,0.00,8.59
t_20211010_476174_1,-396031661#2_1,819169272#4_1,DEFAULT_VEHTYPE,404.00,3317.42,70.00,0.00,121.10,317.00,3317.42,0.00,0.00,86.57
t_20211024_3144545_1,-378380163#12_1,56396348#0_1,DEFAULT_VEHTYPE,378.00,2540.56,114.00,0.00,191.19,373.00,2540.56,151.00,0.00,205.37
t_20211003_2273179_1,951328431#4_0,472274826#0_1,DEFAULT_VEHTYPE,436.00,4685.45,99.00,0.00,167.30,519.00,4685.97,116.00,0.00,180.09
t_20211017_5030268_1,225073547#8_1,127188132#4_1,DEFAULT_VEHTYPE,283.00,1732.49,126.00,0.00,172.72,283.00,1732.49,125.00,0.00,171.44
t_20211017_1953009_1,-102695241#0_1,-223489476#1_1,DEFAULT_VEHTYPE,283.00,2546.29,57.00,0.00,105.02,293.00,2492.44,63.00,0.00,121.67
t_20211031_391019_2,119770963_1,-119770963_1,DEFAULT_VEHTYPE,61.00,629.14,0.00,0.00,15.34,55.00,629.14,0.00,0.00,12.78
t_20211024_105049_1,-691260517#2_1,-101358181#16_1,DEFAULT_VEHTYPE,233.00,1659.19,88.00,0.00,126.60,323.00,1636.73,166.00,0.00,214.77
t_20211024_5105969_1,333682724#7_1,-101977419#2_1,truck,207.00,1694.65,38.00,0.00,89.60,259.00,1694.65,78.00,0.00,135.16
t_20211017_2794324_8,102695201#0_1,-1188207865#3_1,DEFAULT_VEHTYPE,417.00,3656.72,72.00,0.00,124.16,429.00,3656.72,79.00,0.00,168.49
t_20211017_4643584_1,-475451377#55_1,-642815750#1_1,DEFAULT_VEHTYPE,277.00,2390.47,63.00,0.00,106.49,212.00,2390.47,7.00,0.00,43.33
t_20211003_3835512_1,868173009#2_1,-102299896#0_1,DEFAULT_VEHTYPE,633.00,5498.27,165.00,0.00,266.18,636.00,5498.26,153.00,0.00,258.13
t_20211003_1411019_16,48390571#2_1,-128182111#16_1,DEFAULT_VEHTYPE,425.00,3787.68,111.00,0.00,196.48,425.00,3787.68,117.00,0.00,211.55
t_20211024_459155_1,-119314734#1_1,-378600191#0_1,DEFAULT_VEHTYPE,389.00,5425.55,38.00,0.00,95.74,512.00,5536.25,52.00,0.00,118.17
t_20211003_137364_2,-120955758#9_1,-120955775_1,DEFAULT_VEHTYPE,197.00,1771.92,33.00,0.00,55.18,259.00,1771.92,79.00,0.00,106.77
t_20211017_3462365_2,120956713#0_1,120955715_1,DEFAULT_VEHTYPE,85.00,831.73,0.00,0.00,9.48,72.00,831.73,0.00,0.00,9.95
t_20211017_2169582_1,-1149389048.72_1,138708643#3_1,DEFAULT_VEHTYPE,255.00,3163.23,37.00,0.00,74.94,255.00,3163.23,30.00,0.00,68.45
t_20211121_3026023_1,-120162123#1_1,-1188207865#3_1,DEFAULT_VEHTYPE,216.00,2029.75,44.00,0.00,76.12,220.00,2029.75,42.00,0.00,71.43
t_20211017_171162_1,71762453#0_1,889998853#1_1,DEFAULT_VEHTYPE,557.00,9988.42,1.00,0.00,81.61,559.00,9988.42,23.00,0.00,112.37
t_20211003_451300_73,-277743732#1_1,119615045#1_1,truck,467.00,3598.35,117.00,0.00,205.63,460.00,3598.35,114.00,0.00,199.35
t_20211128_938472_2,223489476#1_1,-100827870#1_1,DEFAULT_VEHTYPE,409.00,3355.46,80.00,0.00,144.06,357.00,3355.46,61.00,0.00,161.38
t_20211024_1232620_2,1258959593_1,-751134599#5_1,DEFAULT_VEHTYPE,59.00,838.80,0.00,0.00,11.88,78.00,838.80,0.00,0.00,12.88
t_20211107_4166506_8,-102695241#0_1,-223489476#1_1,DEFAULT_VEHTYPE,310.00,2492.44,67.00,0.00,113.28,300.00,2492.44,76.00,0.00,119.31
t_20211003_3872878_1,124963754#0_1,-156805555#2_1,DEFAULT_VEHTYPE,147.00,1305.61,1.00,0.00,24.35,136.00,1305.61,14.00,0.00,36.03
t_20211003_568558_1,223489476#1_1,-100827870#1_1,truck,383.00,3353.36,79.00,0.00,160.81,373.00,3353.36,90.00,0.00,164.49
t_20211017_4501302_1,-819169272#4_1,-72848061#0_1,DEFAULT_VEHTYPE,256.00,2716.44,27.00,0.00,53.81,315.00,2716.44,63.00,0.00,96.96
t_20211017_301006_1,-277743732#1_1,119615131#0_1,DEFAULT_VEHTYPE,678.00,5684.70,135.00,0.00,251.22,615.00,5684.70,113.00,0.00,237.39
t_20211024_172503_1,223489476#2_1,102695241#0_1,DEFAULT_VEHTYPE,217.00,2043.16,30.00,0.00,59.52,239.00,2165.15,38.00,0.00,91.12
t_20211017_536063_1,120112489#0_1,120112478#2_1,DEFAULT_VEHTYPE,164.00,1419.61,40.00,0.00,69.22,172.00,1419.61,32.00,0.00,57.28
t_20211003_684084_1,-58473437#28_1,58473437#28_1,DEFAULT_VEHTYPE,111.00,649.81,31.00,0.00,56.27,105.00,649.81,31.00,0.00,55.17
t_20211121_3259448_1,102640242#5_1,44351425#7_0,DEFAULT_VEHTYPE,541.00,12228.43,10.00,0.00,57.62,568.00,12228.43,9.00,0.00,58.13
t_20211114_951721_9,223489476#1_1,-100827870#1_1,truck,376.00,3353.36,75.00,0.00,152.90,368.00,3353.36,79.00,0.00,148.55
t_20211031_4039328_1,-945670751#0_1,-138706883#3_1,DEFAULT_VEHTYPE,295.00,2437.82,80.00,0.00,117.17,314.00,2437.82,68.00,0.00,105.20
t_20211017_4733071_1,1169288440_1,119615131#0_1,DEFAULT_VEHTYPE,571.00,4898.02,104.00,0.00,288.00,570.00,4898.02,84.00,0.00,201.95
t_20211010_1014550_9,961206067#2_1,-693307001#11_1,DEFAULT_VEHTYPE,505.00,3516.40,153.00,0.00,245.00,505.00,3516.40,156.00,0.00,250.61
t_20211024_3954813_1,124963612#5_1,-119771873_1,DEFAULT_VEHTYPE,390.00,4843.71,8.00,0.00,81.76,534.00,4843.71,47.00,0.00,120.45
t_20211003_977889_1,-124963627#0_1,687435423#6_2,DEFAULT_VEHTYPE,435.00,4037.08,112.00,0.00,191.42,435.00,4037.08,104.00,0.00,181.57
t_20211024_599780_1,783800520#0_1,120038808#11_1,DEFAULT_VEHTYPE,145.00,1625.82,0.00,0.00,17.23,134.00,1625.82,0.00,0.00,16.28
t_20211121_890280_1,-890891589#12_1,-148820753#19_1,DEFAULT_VEHTYPE,510.00,4546.20,158.00,0.00,240.02,503.00,4546.20,185.00,0.00,270.51
t_20211121_4396502_1,-891425587#2_1,-119614880#2_1,DEFAULT_VEHTYPE,279.00,2467.59,40.00,0.00,104.87,274.00,2467.59,41.00,0.00,102.40
t_20211010_459662_1,-22748930#0_1,-580835182#15_1,DEFAULT_VEHTYPE,257.00,2018.04,88.00,0.00,131.75,260.00,2018.04,74.00,0.00,111.30
t_20211003_1153356_3,1188207865#3_1,997814886#2_1,truck,223.00,1926.21,50.00,0.00,95.08,223.00,1926.21,50.00,0.00,98.20
t_20211128_747591_1,-893581524#10_1,1277705896#4_0,truck,157.00,1337.04,27.00,0.00,56.77,149.00,1337.04,29.00,0.00,55.58
t_20211024_2296649_1,846888239#0_0,229479218#2_1,DEFAULT_VEHTYPE,605.00,5868.15,175.00,0.00,269.83,519.00,5868.15,95.00,0.00,191.25
t_20211024_3262077_8,438367202#0_0,44351425#7_0,DEFAULT_VEHTYPE,341.00,6742.83,0.00,0.00,37.16,310.00,6742.83,0.00,0.00,35.69
t_20211024_239174_1,333682724#6_1,-237801838#0_1,DEFAULT_VEHTYPE,131.00,852.10,43.00,0.00,68.68,130.00,852.10,44.00,0.00,71.90
t_20211031_1605842_1,846888239#0_0,492909459_0,DEFAULT_VEHTYPE,506.00,14568.18,0.00,0.00,60.84,515.00,14568.18,0.00,0.00,60.73
t_20211017_413531_4,223489476#1_1,-100827870#1_1,truck,381.00,3353.36,94.00,0.00,174.17,377.00,3353.36,96.00,0.00,175.35
t_20211128_1112478_3,60049952#3_1,290522434#1_1,DEFAULT_VEHTYPE,79.00,757.32,4.00,0.00,21.28,79.00,757.32,7.00,0.00,23.54
t_20211024_3496122_6,846888239#0_0,819169272#4_1,DEFAULT_VEHTYPE,615.00,15438.54,0.00,0.00,83.76,703.00,15438.54,31.00,0.00,128.11
t_20211107_134285_1,378317388#32_0,-690955064#29_1,DEFAULT_VEHTYPE,337.00,2692.93,107.00,0.00,173.79,344.00,2692.93,94.00,0.00,159.69
t_20211121_1064824_2,-1013421828_1,1013421828_1,DEFAULT_VEHTYPE,111.00,994.35,4.00,0.00,24.47,107.00,1160.31,0.00,0.00,20.24
t_20211017_1006448_8,223489476#1_1,-100827870#1_1,DEFAULT_VEHTYPE,379.00,3355.46,92.00,0.00,179.68,434.00,3355.46,124.00,0.00,205.98
t_20211003_1572040_1,-101358181#4_1,102647405#7_1,DEFAULT_VEHTYPE,263.00,1590.53,100.00,0.00,134.60,167.00,1678.41,45.00,0.00,70.30
t_20211010_1118250_2,223489476#1_1,-223489476#1_1,truck,126.00,1496.74,0.00,0.00,27.63,137.00,1496.74,0.00,0.00,25.60
t_20211017_724978_6,312362938#56_0,260947905#2_1,DEFAULT_VEHTYPE,93.00,605.37,40.00,0.00,51.56,91.00,605.37,44.00,0.00,54.06
t_20211003_4830546_3,605105364#3_1,233696887#1_1,DEFAULT_VEHTYPE,69.00,541.62,6.00,0.00,19.18,93.00,557.62,42.00,0.00,51.84
t_20211024_837702_1,-899867769#4_1,-326224748#3_1,DEFAULT_VEHTYPE,596.00,7632.08,54.00,0.00,114.54,599.00,7632.08,5.00,0.00,65.01
t_20211024_3910533_1,-133720488#6_1,-137066290#0_1,DEFAULT_VEHTYPE,304.00,1918.51,87.00,0.00,168.22,220.00,1900.49,73.00,0.00,112.84
t_20211010_4928982_1,248174349_0,243877276#1_1,DEFAULT_VEHTYPE,88.00,632.69,5.00,0.00,41.61,65.00,632.69,0.00,0.00,24.04
t_20211010_2099861_1,-119605145#7_1,-119607721#4_1,DEFAULT_VEHTYPE,161.00,1407.95,41.00,0.00,59.16,166.00,1407.95,29.00,0.00,49.23
t_20211017_283262_1,135978682#3_1,-120158977#5_1,DEFAULT_VEHTYPE,532.00,3649.11,115.00,0.00,188.08,421.00,3649.11,103.00,0.00,172.46
t_20211003_316873_1,651357705_0,475429160#2_0,truck,112.00,1022.04,22.00,0.00,47.80,114.00,1022.04,22.00,0.00,47.82
t_20211107_2018246_1,44420766#4_0,44351425#7_0,DEFAULT_VEHTYPE,506.00,12094.96,24.00,0.00,77.48,531.00,12094.96,0.00,0.00,52.47
t_20211010_3797674_1,681638687#58_0,-119305532#2_1,DEFAULT_VEHTYPE,210.00,1518.99,78.00,0.00,113.72,217.00,1518.99,67.00,0.00,100.14
t_20211114_2717658_3,248174349_0,243877276#1_1,DEFAULT_VEHTYPE,84.00,632.69,6.00,0.00,37.35,66.00,632.69,0.00,0.00,19.07
t_20211010_2762008_1,249861115#0_1,-101187695#12_1,DEFAULT_VEHTYPE,258.00,2314.31,64.00,0.00,110.11,245.00,2314.31,77.00,0.00,118.87
t_20211010_476174_2,-137066379#4_1,-137066290#0_1,DEFAULT_VEHTYPE,131.00,1165.39,22.00,0.00,51.23,127.00,1165.39,18.00,0.00,40.54
t_20211017_154466_1,120162185#2_1,44351425#7_0,truck,711.00,7006.68,183.00,0.00,331.23,717.00,7006.68,194.00,0.00,320.64
t_20211114_4622671_2,128194491_1,484316498_1,DEFAULT_VEHTYPE,260.00,2807.12,0.00,0.00,42.32,349.00,2807.12,70.00,0.00,125.96
t_20211114_112326_25,-120955715_1,100976223#1_1,DEFAULT_VEHTYPE,81.00,1018.28,0.00,0.00,6.78,80.00,1018.28,0.00,0.00,6.77
t_20211128_858357_1,763317884#1_0,288132111#0_0,DEFAULT_VEHTYPE,384.00,3019.99,168.00,0.00,220.44,384.00,3019.99,109.00,0.00,151.08
t_20211128_637910_1,-165303212_1,609841414#3_0,DEFAULT_VEHTYPE,318.00,3149.54,65.00,0.00,140.70,318.00,3149.54,35.00,0.00,99.58
t_20211121_857836_4,-233696887#0_1,-119607760#0_1,DEFAULT_VEHTYPE,301.00,4178.93,0.00,0.00,54.52,357.00,4178.93,0.00,0.00,38.81
t_20211114_356722_18,128194491_1,1149389055#1.33_0,DEFAULT_VEHTYPE,656.00,5078.07,173.00,0.00,277.11,462.00,5078.07,94.00,0.00,187.79
t_20211031_3589900_1,-119502332#17_1,-907675683#0_1,DEFAULT_VEHTYPE,442.00,3692.47,124.00,0.00,192.06,535.00,3692.47,194.00,0.00,262.25
t_20211024_872894_5,-1013421828_1,1013421828_1,DEFAULT_VEHTYPE,104.00,994.35,0.00,0.00,17.42,106.00,994.35,0.00,0.00,16.41
t_20211010_4140693_1,564630322_1,651497890_1,DEFAULT_VEHTYPE,339.00,2914.09,106.00,0.00,185.55,322.00,2914.09,123.00,0.00,186.35
t_20211024_463297_1,-591535747_1,31408779#12_1,DEFAULT_VEHTYPE,591.00,5594.29,102.00,0.00,182.03,458.00,5594.29,82.00,0.00,147.30
t_20211024_625487_1,-43419676#7_1,579798169#11_1,DEFAULT_VEHTYPE,240.00,1877.58,91.00,0.00,123.08,298.00,1877.58,133.00,0.00,167.68
t_20211114_850368_2,914045913#2_1,-378378929#4_1,DEFAULT_VEHTYPE,609.00,5789.43,146.00,0.00,250.69,608.00,5789.43,172.00,0.00,283.63
t_20211107_1554181_1,475877661#13_1,123537613#0_0,DEFAULT_VEHTYPE,383.00,3717.94,31.00,0.00,99.60,383.00,3717.69,47.00,0.00,111.72
t_20211003_1151389_1,-802330451#26_1,-802330451#12_1,DEFAULT_VEHTYPE,159.00,1175.57,48.00,0.00,73.72,158.00,1175.57,49.00,0.00,75.96
t_20211010_2123592_1,426156937#0_1,-426156937#0_1,DEFAULT_VEHTYPE,112.00,1809.77,0.00,0.00,12.84,116.00,1809.77,0.00,0.00,14.56
t_20211121_239309_1,961188422#2_1,-1188207865#3_1,DEFAULT_VEHTYPE,283.00,2348.52,78.00,0.00,126.98,285.00,2348.52,64.00,0.00,114.95
t_20211017_3918989_1,28185646#2_1,229142916#20_1,DEFAULT_VEHTYPE,447.00,3654.95,122.00,0.00,194.81,293.00,3654.95,15.00,0.00,64.27
t_20211128_791715_1,31408774_0,-133720482#5_1,DEFAULT_VEHTYPE,425.00,4747.87,73.00,0.00,135.38,523.00,4801.63,83.00,0.00,162.64
t_20211024_3704027_1,101977361#2_1,-101977419#2_1,DEFAULT_VEHTYPE,215.00,1490.43,57.00,0.00,113.96,221.00,1490.43,62.00,0.00,120.46
t_20211017_938014_1,31090808#2_0,651354806#2_0,DEFAULT_VEHTYPE,156.00,1663.67,6.00,0.00,29.98,151.00,1663.67,7.00,0.00,29.83
t_20211107_432704_2,-102695241#0_1,-100827870#1_1,DEFAULT_VEHTYPE,177.00,1693.74,33.00,0.00,62.66,185.00,1693.74,22.00,0.00,48.88
t_20211114_750854_14,-120273844#1_1,277743732#1_1,truck,74.00,580.37,11.00,0.00,33.96,57.00,576.36,0.00,0.00,16.16
t_20211031_3962756_1,1199150818#1_0,101971032_1,DEFAULT_VEHTYPE,377.00,5104.79,71.00,0.00,122.48,376.00,5104.79,85.00,0.00,138.67
t_20211003_2455386_1,961492228#0_1,687435406#1_1,DEFAULT_VEHTYPE,332.00,2294.63,150.00,0.00,196.14,333.00,2294.63,132.00,0.00,176.32
t_20211010_1048080_3,-156953315#3_1,28184296#11_0,DEFAULT_VEHTYPE,510.00,6325.86,35.00,0.00,106.68,619.00,6325.86,81.00,0.00,156.56
t_20211003_2447367_1,-961447773#4_1,799537528_1,DEFAULT_VEHTYPE,367.00,3235.36,120.00,0.00,149.66,376.00,3235.36,97.00,0.00,125.91
t_20211121_3665646_4,120878522#36_0,971135636#1_1,DEFAULT_VEHTYPE,271.00,2141.43,95.00,0.00,140.67,271.00,2141.43,86.00,0.00,134.23
t_20211010_1390132_1,119607721#4_1,119601982#0_1,DEFAULT_VEHTYPE,670.00,6882.51,45.00,0.00,118.88,659.00,6882.51,166.00,0.00,250.71
t_20211024_385792_1,581868723#1_0,732836002#1_1,DEFAULT_VEHTYPE,473.00,5197.38,124.00,0.00,177.50,403.00,5197.38,76.00,0.00,122.99
t_20211010_2502118_1,438367202#0_0,44351425#7_0,DEFAULT_VEHTYPE,321.00,6742.83,0.00,0.00,37.51,310.00,6742.83,0.00,0.00,44.15
t_20211107_352822_1,-34049070#6_1,84283268#5_1,DEFAULT_VEHTYPE,81.00,891.35,9.00,0.00,24.68,81.00,891.35,9.00,0.00,24.65
t_20211121_1084944_7,-102695241#0_1,-223489476#2_1,DEFAULT_VEHTYPE,252.00,2155.96,48.00,0.00,118.30,262.00,2155.96,73.00,0.00,116.81
t_20211010_1955597_3,-120273844#1_1,-120273887#1_1,truck,69.00,574.73,2.00,0.00,28.36,59.00,576.36,0.00,0.00,17.47
t_20211121_4011977_1,72848061#0_1,819169272#4_1,DEFAULT_VEHTYPE,396.00,3467.54,92.00,0.00,150.67,396.00,3467.54,93.00,0.00,148.24
t_20211024_1647173_1,-355258486#2_1,-617895492#13_1,DEFAULT_VEHTYPE,184.00,809.88,90.00,0.00,119.32,185.00,809.88,84.00,0.00,113.04
t_20211121_4900123_4,-819169272#4_1,-53638243#2_1,DEFAULT_VEHTYPE,688.00,6150.99,238.00,0.00,355.75,780.00,6150.99,217.00,0.00,326.46
t_20211003_543284_16,378600191#0_1,156953315#3_1,DEFAULT_VEHTYPE,514.00,4955.34,120.00,0.00,197.66,412.00,4955.34,67.00,0.00,141.01
t_20211024_1057516_1,-1000026116#0_1,119614996#6_1,DEFAULT_VEHTYPE,287.00,2237.11,84.00,0.00,135.00,282.00,2237.11,65.00,0.00,113.74
t_20211017_4732695_3,101358181#7_1,-934882309#1_1,DEFAULT_VEHTYPE,562.00,4301.23,195.00,0.00,272.53,651.00,4301.23,274.00,0.00,375.82
t_20211121_4192164_1,34062034#4_0,226946560#4_0,DEFAULT_VEHTYPE,726.00,7994.24,179.00,0.00,271.86,728.00,7994.24,174.00,0.00,259.21
t_20211024_1746609_9,438367202#0_0,-286705999#1_1,DEFAULT_VEHTYPE,497.00,5987.93,113.00,0.00,168.69,493.00,5987.93,156.00,0.00,227.45
t_20211003_661509_1,31408774_0,492909459_0,DEFAULT_VEHTYPE,353.00,4713.92,7.00,0.00,57.67,356.00,4713.92,20.00,0.00,76.11
t_20211017_3599187_1,1148810592#18_1,-127193441#2_1,DEFAULT_VEHTYPE,297.00,2693.43,99.00,0.00,151.02,317.00,2693.43,90.00,0.00,126.41
t_20211003_1208743_1,-120298207#9_1,-442675830#4_1,DEFAULT_VEHTYPE,98.00,1187.71,8.00,0.00,25.66,106.00,1187.71,9.00,0.00,26.25
t_20211017_4257572_1,163211935#2_1,102819800#12_1,DEFAULT_VEHTYPE,75.00,842.56,0.00,0.00,12.01,71.00,842.56,0.00,0.00,12.34
t_20211128_3837834_5,44420766#4_0,984899390_0,DEFAULT_VEHTYPE,562.00,16423.22,0.00,0.00,30.68,597.00,16423.21,0.00,0.00,32.69
t_20211010_2141527_1,314943855#3_0,314943855#11_0,DEFAULT_VEHTYPE,160.00,1214.84,73.00,0.00,94.29,162.00,1214.84,71.00,0.00,91.19
t_20211024_3143131_1,28186394#11_1,-860054591#15_1,DEFAULT_VEHTYPE,209.00,1850.35,54.00,0.00,88.11,111.00,1850.35,0.00,0.00,20.69
t_20211017_119423_1,61186532#0_1,-128194491_1,DEFAULT_VEHTYPE,447.00,4813.97,29.00,0.00,122.03,661.00,4823.01,119.00,0.00,208.53
t_20211010_1018830_1,120878522#34_0,-120158945#7_1,DEFAULT_VEHTYPE,592.00,4241.68,280.00,0.00,367.53,593.00,4241.68,271.00,0.00,355.75
t_20211010_1613285_1,127199214#1_1,243877276#1_0,DEFAULT_VEHTYPE,333.00,3154.55,68.00,0.00,125.32,405.00,3154.55,106.00,0.00,171.08
t_20211010_644020_2,-120273844#1_1,-120273887#1_1,truck,60.00,576.36,0.00,0.00,15.32,60.00,576.36,0.00,0.00,18.69
t_20211010_213455_1,-113387317#24_1,875663149#2_1,DEFAULT_VEHTYPE,472.00,5325.77,59.00,0.00,117.72,476.00,5325.77,55.00,0.00,113.76
t_20211107_726360_10,229626862#0_1,620511925#2_1,DEFAULT_VEHTYPE,435.00,4649.70,56.00,0.00,138.66,520.00,4649.70,147.00,0.00,234.58
t_20211024_3569149_2,101764677#0_1,243877276#1_0,DEFAULT_VEHTYPE,353.00,2956.00,89.00,0.00,169.46,352.00,2956.00,81.00,0.00,146.83
t_20211107_170660_1,-1188761977_1,844528733#4_0,truck,576.00,4324.98,212.00,0.00,320.98,577.00,4324.98,207.00,0.00,315.85
t_20211003_537347_1,76201910#4_1,291905178#0_1,truck,186.00,1737.21,33.00,0.00,71.33,186.00,1737.21,38.00,0.00,78.06
t_20211114_2609262_1,-860037377#3_1,890899882#1_0,DEFAULT_VEHTYPE,566.00,3916.59,258.00,0.00,342.41,568.00,3916.59,246.00,0.00,331.12
t_20211128_508944_1,808277658#3_0,296185505_1,DEFAULT_VEHTYPE,276.00,2681.15,55.00,0.00,106.18,274.00,2681.15,58.00,0.00,109.04
t_20211024_155025_1,322223808#6_0,-987699257#5_1,DEFAULT_VEHTYPE,122.00,939.23,40.00,0.00,62.93,122.00,939.23,37.00,0.00,62.92
t_20211107_102080_1,-156954147#3_1,-472323987#18_1,DEFAULT_VEHTYPE,67.00,816.52,0.00,0.00,12.70,75.00,816.52,0.00,0.00,14.08
t_20211128_4138626_1,44420766#4_0,691260517#2_1,DEFAULT_VEHTYPE,709.00,12543.84,61.00,0.00,140.50,775.00,12543.84,173.00,0.00,258.36
t_20211017_702064_1,231934099_1,-666325023_1,DEFAULT_VEHTYPE,521.00,7077.76,59.00,0.00,116.14,552.00,7077.76,39.00,0.00,88.35
t_20211128_952817_1,-162056963#6_1,102695241#0_1,DEFAULT_VEHTYPE,424.00,2815.08,165.00,0.00,232.38,420.00,2815.08,153.00,0.00,238.04
t_20211121_4790753_1,-188161877#0_1,229626861#3_1,DEFAULT_VEHTYPE,392.00,4138.73,39.00,0.00,114.44,319.00,4138.73,0.00,0.00,79.59
t_20211024_862827_1,-819169272#4_1,43992701#2_0,DEFAULT_VEHTYPE,716.00,15335.20,0.00,0.00,93.08,750.00,15335.20,0.00,0.00,88.09
t_20211017_212242_2,-102695241#0_1,-100827870#1_1,DEFAULT_VEHTYPE,130.00,1693.74,0.00,0.00,25.14,194.00,1693.74,39.00,0.00,68.19
t_20211114_4217633_20,-102695241#0_1,128008526#1_1,DEFAULT_VEHTYPE,75.00,916.87,0.00,0.00,10.39,74.00,916.87,0.00,0.00,12.74
t_20211010_667142_1,-102695241#0_1,-223489476#1_1,DEFAULT_VEHTYPE,281.00,2378.88,36.00,0.00,79.12,285.00,2492.44,68.00,0.00,120.18
t_20211017_4807663_1,-33050698#11_1,-1092136811#1_1,DEFAULT_VEHTYPE,214.00,1999.16,39.00,0.00,71.10,213.00,1999.16,42.00,0.00,77.77
t_20211017_4853766_1,128194491_1,229626861#3_1,DEFAULT_VEHTYPE,192.00,2245.56,0.00,0.00,50.62,269.00,2245.56,72.00,0.00,123.55
t_20211010_352443_2,-120273844#1_1,-119614880#2_1,truck,437.00,3164.62,132.00,0.00,221.29,364.00,3149.09,40.00,0.00,164.95
t_20211114_606832_1,-162056963#6_1,102695241#0_1,DEFAULT_VEHTYPE,415.00,2815.08,149.00,0.00,219.67,410.00,2815.08,139.00,0.00,238.97
t_20211010_1508760_1,881492506#4_1,199575475#9_1,DEFAULT_VEHTYPE,311.00,2707.43,73.00,0.00,130.69,314.00,2707.42,69.00,0.00,132.30
t_20211114_614538_29,651384895#2_0,651420975_1,DEFAULT_VEHTYPE,273.00,2298.36,85.00,0.00,117.81,260.00,2298.36,105.00,0.00,131.90
t_20211010_3310850_3,846888239#0_0,1199150818#1_0,DEFAULT_VEHTYPE,584.00,11534.27,19.00,0.00,70.48,596.00,11534.27,13.00,0.00,71.00
t_20211128_422519_1,66993599#3_1,-744555677#49_1,DEFAULT_VEHTYPE,456.00,5957.20,40.00,0.00,103.04,459.00,5957.20,20.00,0.00,82.43
t_20211024_164759_1,796459853#51_0,1180047185#6_0,DEFAULT_VEHTYPE,74.00,1013.61,0.00,0.00,10.86,78.00,1013.61,0.00,0.00,12.07
t_20211107_3809122_1,1052374666#7_1,102422696#1_1,DEFAULT_VEHTYPE,183.00,1867.52,23.00,0.00,53.94,176.00,1867.52,23.00,0.00,60.32
t_20211010_4450587_1,783800520#0_1,120956466#2_1,DEFAULT_VEHTYPE,694.00,8439.48,113.00,0.00,257.00,793.00,8439.48,144.00,0.00,243.41
t_20211107_262679_1,651480526#2_0,119615131#0_1,DEFAULT_VEHTYPE,501.00,3512.49,209.00,0.00,281.00,410.00,3512.49,134.00,0.00,199.76
t_20211003_244027_1,475451377#55_1,-30686273#38_1,DEFAULT_VEHTYPE,216.00,1445.33,67.00,0.00,104.33,206.00,1445.33,79.00,0.00,124.90
t_20211017_782343_1,137065768#1_1,-1187211564#15_1,truck,93.00,1034.14,0.00,0.00,18.29,93.00,1034.14,0.00,0.00,21.85
